id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
5;Sparkasse;Depozit 31-60 days;500;;EUR;31;60;days;0.6;0.09999999999999998;0.7;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 61-90 days;500;;EUR;61;90;days;0.6;0.09999999999999998;0.7;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 91-120 days;500;;EUR;91;120;days;0.9;0.09999999999999998;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 121-150 days;500;;EUR;121;150;days;0.9;0.09999999999999998;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 151-180 days;500;;EUR;151;180;days;0.9;0.09999999999999998;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 181-210 days;500;;EUR;181;210;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 211-240 days;500;;EUR;211;240;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 241-270 days;500;;EUR;241;270;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 271-300 days;500;;EUR;271;300;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 301-330 days;500;;EUR;301;330;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 331-365 days;500;;EUR;331;365;days;1.1;0.09999999999999987;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 12-14 months;500;;EUR;12;14;months;1.45;0.10000000000000009;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 14-17 months;500;;EUR;14;17;months;1.45;0.10000000000000009;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 17-20 months;500;;EUR;17;20;months;1.45;0.10000000000000009;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 20-23 months;500;;EUR;20;23;months;1.45;0.10000000000000009;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 23-35 months;500;;EUR;23;35;months;1.7;0.10000000000000009;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 35-47 months;500;;EUR;35;47;months;1.7;0.10000000000000009;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 47-59 months;500;;EUR;47;59;months;1.7;0.10000000000000009;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
5;Sparkasse;Depozit 59+ months;500;;EUR;59;;months;1.7;0.10000000000000009;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-25;scraped from Sparkasse GEM JSON tabela
